GlobalGroup;DomainLocalGroup
ART-G-SE-DeptOfHistory&Archaeology-HOD;ART-L-SE-Shares-Dept-AncientHistory-Admins,ART-L-SE-Shares-Dept-MHPIR-Admins
ART-G-SE-MacquarieSchoolOfSocialSciences-HOD;ART-L-SE-Shares-Dept-MHPIR-Admins,ART-L-SE-Geography&Planning-DeptAdmin,ART-L-SE-Shares-Dept-Sociology-Admin,ART-L-SE-Shares-Dept-Anthropology-Admins
ART-G-SE-DeptOfMediaLanguage&Literature-HOD;ART-L-SE-Shares-Dept-English-Admin,ART-L-SE-Shares-Dept-InternationalStudies-Admins,ART-L-SE-Shares-Dept-MMCC-Admin
